Руль,левый
Поколение,1 поколение
"Продажа BMW X6, 2012 год в Сочи",2 590 000 ₽,Двигатель,"бензин, 4.4 л"
Мощность,"555 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",173 000
Руль,левый
Поколение,1 поколение
Комплектация,4.4 AT M
"Продажа BMW X3, 2021 год в Санкт-Петербурге",4 399 000 ₽,Двигатель,"дизель, 2.0 л"
Мощность,"190 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,синий
"Пробег, км",12 196
Руль,левый
Поколение,3 поколение
"Продажа BMW 4-Series, 2014 год в Екатеринбурге",2 490 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"245 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Тип кузова,лифтбек
Цвет,черный
"Пробег, км",128 000
Руль,левый
Поколение,1 поколение
"Продажа BMW X6, 2008 год в Омске",1 570 000 ₽,Двигатель,"бензин, 3.0 л"
Мощность,"306 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",200 000
Руль,левый
Поколение,1 поколение
"Продажа BMW 5-Series, 2020 год в Москве",5 995 000 ₽,Двигатель,"дизель, 3.0 л"
Мощность,"249 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Тип кузова,седан
Цвет,черный
"Пробег, км",38 600
Руль,левый
Поколение,7 поколение
"Продажа BMW M8, 2020 год в Москве",11 795 000 ₽,Двигатель,"бензин, 4.4 л"
Мощность,"625 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Тип кузова,седан
Цвет,серый
"Пробег, км",23 021
Руль,левый
Поколение,1 поколение
"Продажа BMW X5, 2003 год в Новороссийске",1 000 000 ₽,Двигатель,"бензин, 3.0 л, ГБО"
Мощность,"231 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",226 000
Руль,левый
Поколение,"1 поколение, рестайлинг"
"Продажа BMW 1-Series, 2017 год в Тюмени",1 389 000 ₽,Двигатель,"бензин, 1.6 л"
Мощность,"136 л.с., налог"
Коробка передач,автомат
Привод,задний
Тип кузова,хэтчбек 5 дв.
Цвет,черный
"Пробег, км",120 756
Руль,левый
Поколение,"2 поколение, рестайлинг"
"Продажа BMW 7-Series, 1993 год в Минеральных Водах",380 000 ₽,Двигатель,"бензин, 3.0 л, ГБО"
Мощность,"188 л.с., налог"
Коробка передач,механика
Привод,задний
Цвет,черный
"Пробег, км",438 000
Руль,левый
Поколение,2 поколение
Комплектация,730i MT Catalyst
"Продажа BMW X1, 2013 год в Красноярске",1 297 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"184 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,белый
"Пробег, км",113 000
Руль,левый
Поколение,"1 поколение, рестайлинг"
Комплектация,xDrive 20i AT xLine 
"Продажа BMW X7, 2020 год в Москве",8 400 000 ₽,Двигатель,"дизель, 3.0 л"
Мощность,"249 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,серый
"Пробег, км",41 865
Руль,левый
Поколение,1 поколение
"Продажа BMW X2, 2018 год в Нижневартовске",2 790 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"192 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",47 000
Руль,левый
Поколение,1 поколение
Комплектация,xDrive 20i AT Advantage
"Продажа BMW X6, 2017 год в Барнауле",4 395 000 ₽,Двигатель,"дизель, 3.0 л"
